Exam,Type,Q#,Grade,Unit,Section,Cluster,Standard,Curriculum Notes: Grade 6 Overview and Standards Breakdown
Spring 2025,MC,1,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.3.2, 6.3.3, 6.3.4, 6.3.9",Ratios and Proportional Relationships,NY-6.RP.3a,"From Grade 6, Unit 3, Lesson 7: ""More Rate Comparisons""
From the ""Card Sort: Is it a Deal?"" activity:
""Two students are saving money for new bikes. They both start with $0 and save at a constant rate. After 4 months, Student A has saved $120 and Student B has saved $80. After 12 months, how much more money will Student A have saved than Student B?"""
Spring 2025,MC,3,6,7,"Rational Numbers - 6.7.2, 6.7.11, 6.7.12, 6.7.13, 6.7.15,",The Number System,NY-6.NS.6c,"From Grade 6, Unit 7, Lesson 11: ""Points in the Coordinate Plane""
From ""The Coordinate Plane"" activity:
""Write the coordinates of each labeled point and determine which quadrant it belongs in. Then explain how you know which quadrant is correct based on the signs of the coordinates."""
Spring 2025,MC,5,6,6,"Expressions & Equations 6.6.6, 6.6.7, 6.6.13, 6.6.14, 6.6.15",Expressions and Equations ,NY-6.EE.2c ,"From Grade 6, Unit 6, Lesson 7: ""Write Expressions with Variables""
From the ""Building Expressions"" activity:
""Evaluate the expression 5x + y when x = 3 and y = 4. Show your work and explain each step."""
Spring 2025,MC,6,6,4,"Dividing Fractions - 6.4.1-6.4.14, 6.4.16, 6.4.17",The Number System,NY-6.NS.1,"From Grade 6, Unit 4, Lesson 16: ""Solving Problems Involving Fractions""
From the ""Situations with ¾ and ½"" activity:
""Priya's goal was to collect ½ kilogram of cans to recycle. She collected ¾ kilogram of cans. How many times her goal was the amount of cans she collected? Show your work using what you know about dividing fractions."""
Spring 2025,MC,13,6,1 Area and Surface Area,6.1 Section D: Surface Area,Geometry,NY-6.G.4,"Grade 6, Unit 1, Lesson 14: ""Nets and Surface Area""
From the ""Using Nets to Find Surface Area"" activity:
""Find the surface area of each polyhedron. Explain or show your reasoning."""
Spring 2025,MC,16,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.8, 6.2.9, 6.2.10, 6.3.4, 6.3.5, 6.3.6, 6.3.7, 6.3.8, 6.3.9, 6.6.16, 6.6.17",Ratios and Proportional Relationships,NY-6.RP.3b,"From Grade 6, Unit 3, Lesson 4: ""Comparing Speeds and Prices""
From ""The Best Deal on Beans"" activity:
""Four different stores posted ads about special sales on 15-oz cans of baked beans:
Which store is offering the best deal? Show your work using what you know about unit rates."""
Spring 2025,MC,17,6,1 Area and Surface Area,6.1 Section C: Triangles and Other Polygons,Geometry,NY-6.G.1 ,"From Grade 6, Unit 1, Lesson 8: ""Area of Triangles""
From the ""More Triangles"" activity:
""Find the areas of triangles A and B. Show your reasoning. [Triangle A is a right triangle with base 6 units and height 4 units [Triangle B is a triangle with base 8 units and height 3 units]"""
Spring 2025,MC,19,6,6,"Expressions & Equations - 6.6.12, 6.6.13, 6.6.14, 6.6.15",Expressions and Equations ,NY-6.EE.1 ,"Grade 6, Unit 6, Lesson 14: ""Evaluating Expressions with Exponents"" 
From the ""Row Game: Expression Explosion"" activity: 
""Find the value of the expressions in one of the columns. Your partner will work on the other column. Check with your partner after you finish each row. Your answers in each row should be the same."""
Spring 2025,MC,21,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.3.10 - 6.3.16, 6.6.7",Ratios and Proportional Relationships,NY-6.RP.3c,"Grade 6, Unit 3, Lesson 14: ""Solving Percentage Problems"" 
From the ""Matching the Percentage"" activity: 
""Match each question in the left column with a percentage in the right column: 5 is what percentage of 20? 3 is what percentage of 30? 6 is what percentage of 8? 20 is what percentage of 5?"""
Spring 2025,MC,23,6,7,"Rational Numbers - 6.6.7, 6.7.1",Expressions and Equations ,NY-6.EE.2b,"From Grade 6, Unit 6, Lesson 7: ""Write Expressions with Variables""
From the ""Building Expressions"" activity:
""In the expression 3x + 5, what is the coefficient of x? Explain how you know this is the coefficient and not just another number in the expression.""
""In the expression 2.5n - 8, what is the coefficient of n? Explain why coefficients can be decimals and how they show multiplication with the variable."""
