Exam,Type,Q#,Course/Grade,Unit,Section,Cluster,Standard,Curriculum Notes
2023,MC,2,8th Grade,6,6.B: Associations in Data,Statistics and Probability,NY-8.SP.1,
2023,MC,3,8th Grade,2,2.A: Dilations,Geometry,NY-8.G.3,
2023,MC,7,8th Grade,3,3.A: Linear Relatinships,Expressions and Equations,NY-8.EE.5,
2023,MC,8,8th Grade,8,8.B: Pythagorean Theorem,Geometry,NY-8.G.8,
2023,MC,12,8th Grade,5,5.A: Functions Input and Output,Functions,NY-8.F.1,
2023,MC,15,8th Grade,7,7.B: More Exponent Rules,Expressions and Equations,NY-8.EE.1,
2023,MC,16,8th Grade,5,5.D: Cylinders and Cones,Geometry,NY-8.G.9,
2023,MC,19,8th Grade,1,1.C: Congruence,Geometry,NY-8.G.2,
2023,MC,20,8th Grade,3,3.D: Linear Equations,Expressions and Equations,NY-8.EE.6,
2023,MC,22,7th Grade,7,7.B: Drawing Polygons with Given Conditions,Geometry,NY-7.G.2/NY-8.G.5,***in 7th grade
2023,MC,23,8th Grade,6,6.B: Associations in Data,Statistics and Probability,NY-8.SP.3,
2023,MC,24,8th Grade,1,1.D: Angles in a Triangle,Geometry,NY-8.G.1,
2023,MC,25,8th Grade,1,1.D: Angles in a Triangle,Geometry,NY-8.G.5,
2023,MC,26,8th Grade,5,5.C: Linear Functions and Rates of Change,Functions,NY-8.F.2,
2023,MC,29,8th Grade,2,2.A: Dilations,Geometry,NY-8.G.4,
2023,MC,33,8th Grade,2,2.C: Slope,Expressions and Equations,NY-8.EE.6,
2023,MC,34,8th Grade,5,5.C: LInear Functions and Rates of Change,Functions,NY-8.F.2,
2023,MC,35,8th Grade,8,8.D: Rational And Irrational Numbers,Number Systems,NY-8.NS.1,
2023,MC,36,8th Grade,5,5.A: Inputs and Outputs,Functions,NY-8.F.1,
2023,MC,37,8th Grade,5,5.D: Cylinders and Cones,Geometry,NY-8.G.9,
2023,MC,38,8th Grade,1,1.A: Rigid Transformations,Geometry,NY-8.G.3,
2023,CR,39,8th Grade,8,8.C: Side Lengths and Volume of Cubes,Expressions and Equations,NY-8.EE.2,
2023,CR,40,8th Grade,8,8.B: Pythagorean Theorem,Geometry,NY-8.G.7,
2023,CR,41,8th Grade,4,4.A: Equivalent Equations,Expressions and Equations,NY-8.EE.7,
2023,CR,42,8th Grade,1,1.C: Congruence,Geometry,NY-8.G.2,
2023,CR,43,8th Grade,4,4.A: Equivalent Equations,Expressions and Equations,NY-8.EE.7,
2023,CR,44,8th Grade,8,8.B: Pythagorean Theorem,Geometry,NY-8.G.6,
2023,CR,45,8th Grade,5,5.C: Linear Functions and Rates of Change,Expressions and Equations,NY-8.F.4,
2023,CR,46,7th Grade,3,3.B: Area of a circle,Geometry,NY-7.G.4,***in 7th grade
2023,CR,47,8th Grade,7,7.B: Exponent Rules,Expressions and Equations,NY-8.EE.1,
2023,CR,48,8th Grade,5,5.B: Intepreting Linear functions,Functions,NY-8.F.3,
2024,MC,1,8th Grade,5,5.C: Linear Functions and Rates of Change,Functions,NY-8.F.4,
2024,MC,2,8th Grade,6,6.A: Associations in Numerical Data,Statistics and Probability,NY-8.SP.2,
2024,MC,4,8th Grade,1,1.D: Angles in a Triangle,Geometry,NY-8.G.1/NY-8.G.5,
2024,MC,5,8th Grade,4,4.A: Equivalent Equations,Expressions and Equations,NY-8.EE.7,
2024,MC,7,8th Grade,5,5.C: Linear Functions and Rates of Change,Functions,NY-8.F.2,
2024,MC,9,8th Grade,2,2.C: Slope,Expressions and Equations,NY-8.EE.6,
2024,MC,10,8th Grade,5,5.D: Cylinders and Cones & E: Dimensions and Spheres,Geometry,NY-8.G.9,
2024,MC,12,8th Grade,8,8.C: Side Lengths and Volume of Cubes,Expressions and Equations,NY-8.EE.2,
